feature_1,feature_2,target
11.121539913405366,6.281423130857454,-1
8.386829981597419,-3.2102698882327587,-1
9.973579601484264,10.733533354290415,1
11.371653204437953,14.57176362957992,1
9.086244118193397,8.579826570756918,1
12.391037990670442,7.143781610023134,-1
11.758762003123607,15.37768831381091,1
11.41059378218991,13.467763554465431,1
12.397802905555551,9.756058544143173,-1
11.541220176122774,6.825738548476082,-1
9.765796109104443,10.731566682381233,1
10.487837118347203,11.79968728384026,1
11.677558901776822,15.244980048529841,1
10.46671167607584,11.65782126941697,1
11.600042929901525,15.02241745273534,1
9.543120805773523,8.52961970685316,1
13.096937978949136,18.2916233605373,1
6.92546049632913,2.6614211834315435,1
10.798438843917967,4.094730604420225,-1
8.310939998078975,5.308211556711305,1
11.562288093995488,5.889592397888995,-1
12.73698324325956,17.898663928122094,1
12.314420346381032,16.71311800066755,1
8.642189307325873,6.862592089899648,1
7.486543709528242,-1.9817894520075914,-1
10.641091744980606,11.886849987198925,1
10.456486423479916,11.272199590611429,1
11.328164228586301,15.28242412771026,1
9.409734055845096,8.428614743330545,1
9.239466872150162,8.284682137277535,1
8.980413866015441,8.535317705203306,1
10.722125149786653,12.053287297299772,1
13.084754333057177,11.122024205472629,-1
8.487711731179866,6.309469737589452,1
9.6124010804614,2.125138594551472,-1
7.593544977160715,-2.919094520598227,-1
8.900097186003228,0.9294771844627894,-1
11.240219801052508,13.596425480389566,1
9.324692949463726,0.9123897440329518,-1
10.200791492634972,4.482589385245685,-1
9.093821756121704,7.308655898251881,1
11.915248493935877,8.584679302572775,-1
12.524817878427978,17.070830296385097,1
10.480311210874145,12.772298486991243,1
10.25330116437525,4.4429380145851205,-1
11.465851442297655,6.8341109056512215,-1
9.568237531696438,9.589872156894966,1
12.67442079187943,16.933201372240152,1
10.963212842428742,12.35192748406757,1
10.571153672320634,2.810645317017978,-1
11.975512065580176,10.11236803202279,-1
11.324627770431668,7.174442371811574,-1
6.470316771885014,-5.54122499450631,-1
11.834971775908137,3.818361448415986,-1
11.293055833079753,6.460445476399106,-1
9.705649856979454,8.996743369317848,1
7.969055947653576,-1.911901590151425,-1
9.932580233552256,11.448640913046992,1
10.157095075632284,2.343927805085886,-1
10.073783478309018,11.756439945422459,1
9.116050050063834,8.040055732006111,1
13.06478661633942,11.627462340724799,-1
8.908427992786113,-1.6159948350168474,-1
10.982453070788527,2.4129974208432676,-1
11.316786864748806,6.522213296649236,1
11.74157118083188,15.589770017935548,1
8.317625328299137,5.996754785668221,1
13.811670571458654,20.46846328044078,1
10.520164473800252,2.206136486870336,-1
11.818833034848318,15.093689808110703,1
10.15094577957345,3.7240818841489256,-1
8.996163860971473,0.009822891218614238,-1
8.508894862675763,6.506759789235127,1
10.118898801965946,2.7663961152815295,-1
9.831213152747475,9.708899464720247,1
9.65225262898066,0.6910981400987035,-1
7.964361008771063,5.040995713304643,1
10.481593151860773,11.307064537910316,1
11.991995251320096,16.907699156035747,1
12.487668205342262,16.77233560038289,1
9.799268683928108,10.110646302302614,1
10.152311341622108,1.549188448283524,-1
9.894090821554913,1.6915777617727459,-1
12.391341053473715,16.797519886939487,1
10.016186964197738,10.195778443064775,1
9.55957458518092,10.516117376534508,1
12.011507278581401,15.504101317189601,1
12.850848147649575,18.15001074153802,1
9.950021968081135,10.438945260096084,1
9.422190538417524,1.7791428941517857,-1
10.765123695069954,13.989628482227289,1
8.132800629235096,3.903276622329284,1
9.363835869605191,0.8302841331238682,-1
11.106534465605105,12.829716429501811,1
9.558144019998887,1.7392321982307273,-1
11.290860268101984,13.900657870996287,1
13.367144564738865,19.009150447485336,1
10.346304731515938,10.359142281127175,1
9.960112977284867,4.397409753007707,-1
8.344900551962299,6.242115422332388,1
9.015415902547113,-0.9134888839363153,-1
9.962133237641506,11.374305921391372,1
9.888552928086105,12.044159557080912,1
13.37758763909898,19.385678636232978,1
9.593128055292064,10.513756497398214,1
11.626101335143545,6.41121996929858,-1
8.718259867019071,0.5908498687154449,-1
10.76270878869872,12.022184433828748,1
7.781227907432546,-1.9264182106047585,-1
10.801291434836994,10.930063972778138,1
9.616390806554133,2.75611289819667,-1
11.640383998460813,14.381994791722551,1
11.397472565265558,4.800092207610717,-1
10.590790198274064,2.1304202186395322,-1
10.892623886051899,12.717361829139278,1
8.965931170069362,-0.8864579089908027,-1
10.316723687973157,3.1096396394454358,-1
9.46126543074371,-1.3957112909218008,-1
9.910935249018564,10.74236880645313,1
10.75077173216041,6.443296708810007,-1
8.339349648628634,-0.8259719316436893,-1
8.13642514366449,-2.8310614667468386,-1
12.181889142859623,6.85466648825635,-1
10.565681796403286,12.12390653326651,1
9.839578320074411,3.130158270043103,-1
10.84277441497533,7.0187898686966035,-1
10.343250456867205,11.720037658240082,1
11.807304617540844,5.149757621976383,-1
10.362120387642985,11.495272940640687,1
9.669806471866806,3.743354831977739,-1
12.245770129258622,6.67869703936017,-1
11.864106178982972,7.9677038323120435,-1
8.649478970667552,6.781579462389883,1
9.579139296769295,9.96412835224605,1
